Hour,DC,Bids,Impressions,Spent
2020-01-10 13:00:00,EU,6420255,1008826,524191
2020-01-10 13:00:00,US,3129551,549923,573914
2020-01-10 14:00:00,EU,5807884,1204637,586073
2020-01-10 14:00:00,US,3260146,563119,620230
2020-01-10 15:00:00,EU,5420414,1189438,565913
2020-01-10 15:00:00,US,3347619,599429,625694
2020-01-10 16:00:00,EU,5403607,1174075,567391
2020-01-10 16:00:00,US,3399645,575101,613836
2020-01-10 17:00:00,EU,3342298,680438,386910
2020-01-10 17:00:00,US,3146865,509723,610500
2020-01-10 18:00:00,EU,4296933,1020723,492276
2020-01-10 18:00:00,US,3293130,569297,674818
2020-01-10 19:00:00,EU,4345853,1100683,550039
2020-01-10 19:00:00,US,3188794,573763,793033
2020-01-10 20:00:00,EU,4027014,1120633,541602
2020-01-10 20:00:00,US,3095694,573158,824972
2020-01-10 21:00:00,EU,3929959,1042288,477786
2020-01-10 21:00:00,US,3068452,602426,784099
2020-01-10 22:00:00,EU,3854632,1092621,472226
2020-01-10 22:00:00,US,2911229,602659,758103
2020-01-10 23:00:00,EU,3257268,851814,386459
2020-01-10 23:00:00,US,2775539,589382,714263
2020-01-11 0:00:00,EU,3674006,870235,441565
2020-01-11 0:00:00,US,3007823,684677,993916
2020-01-11 1:00:00,EU,3477898,824040,391491
2020-01-11 1:00:00,US,3125055,731295,1039190
2020-01-11 2:00:00,EU,3463302,824982,358272
2020-01-11 2:00:00,US,3051694,731126,1092303
2020-01-11 3:00:00,EU,3583425,863166,355288
2020-01-11 3:00:00,US,3021522,692018,1035829
2020-01-11 4:00:00,EU,3646852,910535,343560
2020-01-11 4:00:00,US,2831744,625327,901451
2020-01-11 5:00:00,EU,3942840,999884,385564
2020-01-11 5:00:00,US,2766482,568869,794349
2020-01-11 6:00:00,EU,4542802,1174128,445009
2020-01-11 6:00:00,US,2788962,552282,653025
2020-01-11 7:00:00,EU,4876006,1278855,516877
2020-01-11 7:00:00,US,2574526,441600,521394
2020-01-11 8:00:00,EU,5182988,1340135,586910
2020-01-11 8:00:00,US,2710488,383205,417910
2020-01-11 9:00:00,EU,5273615,1296888,626231
